FIPS,Admin2,Province_State,Country_Region,Lat,Long_,Confirmed,Deaths,Recovered,Active
28017,Chickasaw,Mississippi,US,33.91983202,-88.9481545,68,7,0,61
45051,Horry,South Carolina,US,33.9212828,-78.99555293,215,15,0,200
28013,Calhoun,Mississippi,US,33.93683395,-89.33686647,50,3,0,47
,,,Afghanistan,33.93911,67.709953,2171,64,260,1847
13067,Cobb,Georgia,US,33.94243204,-84.5761255,1614,94,0,1520
40085,Love,Oklahoma,US,33.95273467,-97.23906784,2,0,0,2
5079,Lincoln,Arkansas,US,33.95317155,-91.74002806,814,0,0,814
28135,Tallahatchie,Mississippi,US,33.95339918,-90.1729398,11,1,0,10
13059,Clarke,Georgia,US,33.95436462,-83.37124007,150,13,0,137
13135,Gwinnett,Georgia,US,33.96044201,-84.02137802,1787,57,0,1730
40013,Bryan,Oklahoma,US,33.96472458,-96.25903472,8,1,0,7
5039,Dallas,Arkansas,US,33.97042763,-92.65167437,1,0,0,1
1009,Blount,Alabama,US,33.98210918,-86.56790593,37,0,0,37
48485,Wichita,Texas,US,33.98842886,-98.7041034,65,2,0,63
13013,Barrow,Georgia,US,33.99148694,-83.71436292,133,4,0,129
5133,Sevier,Arkansas,US,33.99780401,-94.2424869,11,1,0,10
13233,Polk,Georgia,US,34.00267074,-85.18677781,57,0,0,57
35053,Socorro,New Mexico,US,34.00715494,-106.9298354,42,2,0,40
45081,Saluda,South Carolina,US,34.00795823,-81.72713237,47,0,0,47
45079,Richland,South Carolina,US,34.01791263,-80.90267209,899,33,0,866
35041,Roosevelt,New Mexico,US,34.02097406,-103.4799493,9,0,0,9
40095,Marshall,Oklahoma,US,34.02311222,-96.76855464,2,0,0,2
45041,Florence,South Carolina,US,34.02361754,-79.70189312,304,14,0,290
40023,Choctaw,Oklahoma,US,34.02807439,-95.54771129,3,0,0,3
28161,Yalobusha,Mississippi,US,34.02824175,-89.7076205,19,0,0,19
1055,Etowah,Alabama,US,34.04567266,-86.04051873,139,9,0,130
5019,Clark,Arkansas,US,34.04613432,-93.17484713,30,0,0,30
48279,Lamb,Texas,US,34.06859623,-102.3516289,3,0,0,3
48189,Hale,Texas,US,34.07044901,-101.8268114,25,4,0,21
37019,Brunswick,North Carolina,US,34.070565,-78.22814204,43,2,0,41
48153,Floyd,Texas,US,34.07227468,-101.3031546,3,0,0,3
48345,Motley,Texas,US,34.07408766,-100.779722,1,0,0,1
48101,Cottle,Texas,US,34.07783319,-100.2785062,2,0,0,2
45067,Marion,South Carolina,US,34.07859748,-79.36400756,34,2,0,32
48487,Wilbarger,Texas,US,34.07945812,-99.24178437,1,0,0,1
5061,Howard,Arkansas,US,34.09007427,-93.9934871,13,0,0,13
40067,Jefferson,Oklahoma,US,34.11130184,-97.83182974,2,0,0,2
13105,Elbert,Georgia,US,34.11302332,-82.83936148,23,0,0,23
40089,McCurtain,Oklahoma,US,34.11664328,-94.77222373,8,0,0,8
13195,Madison,Georgia,US,34.12920917,-83.21218732,24,1,0,23
1043,Cullman,Alabama,US,34.13020303,-86.86888037,55,0,0,55
1093,Marion,Alabama,US,34.13697363,-87.88704173,75,6,0,69
13157,Jackson,Georgia,US,34.13794553,-83.56814788,93,2,0,91
1133,Winston,Alabama,US,34.15030532,-87.37325922,15,0,0,15
45047,Greenwood,South Carolina,US,34.15272415,-82.12715789,49,0,0,49
5109,Pike,Arkansas,US,34.16250414,-93.65789349,3,0,0,3
45061,Lee,South Carolina,US,34.16393091,-80.25690731,63,7,0,56
1019,Cherokee,Alabama,US,34.17805983,-85.60638968,15,0,0,15
45001,Abbeville,South Carolina,US,34.22333378,-82.46170658,31,0,0,31
13117,Forsyth,Georgia,US,34.22604035,-84.1231513,298,9,0,289
28115,Pontotoc,Mississippi,US,34.226046,-89.03636807,18,2,0,16
28027,Coahoma,Mississippi,US,34.22772299,-90.60415045,61,3,0,58
13015,Bartow,Georgia,US,34.23732119,-84.83887523,313,30,0,283
13057,Cherokee,Georgia,US,34.24393976,-84.47431861,467,11,0,456
40019,Carter,Oklahoma,US,34.25103751,-97.28552485,3,1,0,2
28119,Quitman,Mississippi,US,34.25157572,-90.28908,14,0,0,14
37129,New Hanover,North Carolina,US,34.25758282,-77.87075626,79,3,0,76
13115,Floyd,Georgia,US,34.26268279,-85.21577392,144,11,0,133
37047,Columbus,North Carolina,US,34.26744084,-78.65801424,153,10,0,143
5069,Jefferson,Arkansas,US,34.26767081,-91.92619839,169,14,0,155
28057,Itawamba,Mississippi,US,34.27993475,-88.3606733,57,3,0,54
45071,Newberry,South Carolina,US,34.28629098,-81.59935761,26,1,0,25
40033,Cotton,Oklahoma,US,34.28845626,-98.37053567,5,1,0,4
5053,Grant,Arkansas,US,34.29017991,-92.42320562,14,0,0,14
5001,Arkansas,Arkansas,US,34.29145151,-91.37277296,2,0,0,2
28081,Lee,Mississippi,US,34.2918775,-88.68149954,69,4,0,65
6037,Los Angeles,California,US,34.30828379,-118.2282411,23220,1111,0,22109
40069,Johnston,Oklahoma,US,34.31440473,-96.66011537,3,0,0,3
5059,Hot Spring,Arkansas,US,34.31709259,-92.95396325,19,0,0,19
13139,Hall,Georgia,US,34.32207823,-83.81896936,1332,21,0,1311
45031,Darlington,South Carolina,US,34.33358335,-79.96027485,126,2,0,124
45055,Kershaw,South Carolina,US,34.33988254,-80.58763164,237,10,0,227
13147,Hart,Georgia,US,34.34626973,-82.96567682,10,0,0,10
13011,Banks,Georgia,US,34.35607081,-83.49644388,24,0,0,24
28071,Lafayette,Mississippi,US,34.35687874,-89.48490961,89,3,0,86
28107,Panola,Mississippi,US,34.36398677,-89.95064249,39,2,0,37
1095,Marshall,Alabama,US,34.36975964,-86.30486727,317,6,0,311
40141,Tillman,Oklahoma,US,34.37288446,-98.92426619,1,0,0,1
40005,Atoka,Oklahoma,US,34.37366573,-96.03802487,1,0,0,1
13119,Franklin,Georgia,US,34.37525597,-83.23159927,18,1,0,17
45033,Dillon,South Carolina,US,34.39007791,-79.37741872,52,0,0,52
45039,Fairfield,South Carolina,US,34.39287073,-81.1195624,36,2,0,34
40127,Pushmataha,Oklahoma,US,34.41635232,-95.37603505,1,0,0,1
5107,Phillips,Arkansas,US,34.43268455,-90.84800154,5,1,0,4
1059,Franklin,Alabama,US,34.44235334,-87.84289505,58,0,0,58
13085,Dawson,Georgia,US,34.44244079,-84.16964071,61,1,0,60
6111,Ventura,California,US,34.44465746,-119.0910613,535,18,0,517
1103,Morgan,Alabama,US,34.45500589,-86.85475946,68,0,0,68
1049,DeKalb,Alabama,US,34.45946862,-85.80782906,77,2,0,75
13227,Pickens,Georgia,US,34.46589159,-84.46406611,26,2,0,24
13055,Chattooga,Georgia,US,34.47197698,-85.34535662,16,2,0,14
40099,Murray,Oklahoma,US,34.48116015,-97.06826283,1,0,0,1
45059,Laurens,South Carolina,US,34.48244419,-82.00490796,39,1,0,38
5113,Polk,Arkansas,US,34.48254879,-94.22728802,8,0,0,8
40137,Stephens,Oklahoma,US,34.48556989,-97.85141892,22,1,0,21
28145,Union,Mississippi,US,34.49162015,-89.00776006,17,1,0,16
13129,Gordon,Georgia,US,34.50487351,-84.87296253,92,12,0,80
45007,Anderson,South Carolina,US,34.51828081,-82.63959517,160,8,0,152
1079,Lawrence,Alabama,US,34.52041498,-87.31069453,12,0,0,12
37141,Pender,North Carolina,US,34.52265624,-77.90352133,13,1,0,12
48075,Childress,Texas,US,34.5293041,-100.2077916,1,0,0,1
48369,Parmer,Texas,US,34.52993409,-102.7844668,6,0,0,6
48069,Castro,Texas,US,34.53016752,-102.2617243,13,1,0,12
48437,Swisher,Texas,US,34.53028891,-101.7349174,9,0,0,9
5097,Montgomery,Arkansas,US,34.53704874,-93.65824478,1,0,0,1
13257,Stephens,Georgia,US,34.55151201,-83.29405315,78,1,0,77
13187,Lumpkin,Georgia,US,34.57286511,-84.00425681,44,2,0,42
35009,Curry,New Mexico,US,34.57421077,-103.3468876,17,0,0,17
5051,Garland,Arkansas,US,34.57692074,-93.14921604,116,0,0,116
40065,Jackson,Oklahoma,US,34.58781741,-99.41138784,15,0,0,15
45069,Marlboro,South Carolina,US,34.59905577,-79.67561152,45,0,0,45
4025,Yavapai,Arizona,US,34.59933926,-112.5538588,79,1,0,78
37017,Bladen,North Carolina,US,34.61296243,-78.56180059,21,0,0,21
28117,Prentiss,Mississippi,US,34.61810501,-88.51986294,32,1,0,31
13137,Habersham,Georgia,US,34.63331566,-83.53094677,257,8,0,249
35057,Torrance,New Mexico,US,34.64048375,-105.8508949,15,0,0,15
45025,Chesterfield,South Carolina,US,34.64137396,-80.1564014,51,1,0,50
37155,Robeson,North Carolina,US,34.64244496,-79.1025053,162,3,0,159
13311,White,Georgia,US,34.64624278,-83.74905525,59,0,0,59
5125,Saline,Arkansas,US,34.64916145,-92.67583224,67,1,0,66
28143,Tunica,Mississippi,US,34.64967704,-90.37481167,35,1,0,34
28137,Tate,Mississippi,US,34.65133709,-89.94485778,41,0,0,41
6083,Santa Barbara,California,US,34.65329488,-120.0188492,485,8,0,477
40031,Comanche,Oklahoma,US,34.65973764,-98.47195055,80,1,0,79
5095,Monroe,Arkansas,US,34.6815935,-91.20540287,4,0,0,4
45057,Lancaster,South Carolina,US,34.68270843,-80.70513032,96,4,0,92
45087,Union,South Carolina,US,34.68835752,-81.61730349,26,0,0,26
45023,Chester,South Carolina,US,34.69249168,-81.1583216,30,0,0,30
13123,Gilmer,Georgia,US,34.69316688,-84.45802506,68,0,0,68
1033,Colbert,Alabama,US,34.69847452,-87.80168544,29,2,0,27
40049,Garvin,Oklahoma,US,34.70418038,-97.30811132,13,1,0,12
35061,Valencia,New Mexico,US,34.71669834,-106.8103733,45,0,0,45
37133,Onslow,North Carolina,US,34.72607366,-77.42908179,45,1,0,44
40123,Pontotoc,Oklahoma,US,34.72959848,-96.68337199,10,1,0,9
13295,Walker,Georgia,US,34.73376362,-85.30165174,61,0,0,61
28141,Tishomingo,Mississippi,US,34.74023475,-88.23917219,7,0,0,7
45073,Oconee,South Carolina,US,34.75225169,-83.06742317,24,0,0,24
5085,Lonoke,Arkansas,US,34.75392199,-91.88742357,41,0,0,41
28093,Marshall,Mississippi,US,34.76216286,-89.50299462,43,2,0,41
1089,Madison,Alabama,US,34.76327133,-86.55069633,227,4,0,223
28139,Tippah,Mississippi,US,34.76872156,-88.90988194,54,7,0,47
5119,Pulaski,Arkansas,US,34.77054088,-92.31355101,518,17,0,501
1071,Jackson,Alabama,US,34.78144169,-85.99750489,49,2,0,47
5077,Lee,Arkansas,US,34.78498904,-90.78383866,3,1,0,2
13213,Murray,Georgia,US,34.78897608,-84.74993177,31,0,0,31
,,,Syria,34.802075,38.996815,43,3,21,19
13313,Whitfield,Georgia,US,34.80987459,-84.96093476,103,4,0,99
1083,Limestone,Alabama,US,34.81185586,-86.98310072,44,0,0,44
28009,Benton,Mississippi,US,34.81681228,-89.18945516,11,0,0,11
13291,Union,Georgia,US,34.82995757,-83.98967069,33,1,0,32
5117,Prairie,Arkansas,US,34.83624419,-91.55162157,2,0,0,2
37165,Scotland,North Carolina,US,34.8386299,-79.4757978,24,0,0,24
6071,San Bernardino,California,US,34.84060306,-116.1774685,2058,93,0,1965
13083,Dade,Georgia,US,34.8549167,-85.50490424,14,1,0,13
5127,Scott,Arkansas,US,34.85588887,-94.0632176,1,0,0,1
35019,Guadalupe,New Mexico,US,34.86319296,-104.790669,14,0,0,14
13111,Fannin,Georgia,US,34.86430205,-84.316964,29,1,0,28
28033,DeSoto,Mississippi,US,34.87625235,-89.99091418,282,4,0,278
40077,Latimer,Oklahoma,US,34.87844729,-95.25215049,5,1,0,4
28003,Alcorn,Mississippi,US,34.88084463,-88.57996173,10,1,0,9
13241,Rabun,Georgia,US,34.88389445,-83.40304637,13,1,0,12
45077,Pickens,South Carolina,US,34.88807695,-82.72791551,54,1,0,53
37031,Carteret,North Carolina,US,34.8932941,-76.54120135,28,3,0,25
45045,Greenville,South Carolina,US,34.89502264,-82.37295012,722,37,0,685
40079,Le Flore,Oklahoma,US,34.89851864,-94.70392124,11,0,0,11
13047,Catoosa,Georgia,US,34.89872298,-85.13757014,47,0,0,47
1077,Lauderdale,Alabama,US,34.90171875,-87.65624729,38,2,0,36
35006,Cibola,New Mexico,US,34.91131525,-107.998876,52,3,0,49
13281,Towns,Georgia,US,34.91369188,-83.7410746,21,1,0,20
40075,Kiowa,Oklahoma,US,34.91671958,-98.97720696,5,0,0,5
40121,Pittsburg,Oklahoma,US,34.92065823,-95.7513432,29,2,0,27
45083,Spartanburg,South Carolina,US,34.92960077,-81.99225984,287,9,0,278
37061,Duplin,North Carolina,US,34.93449805,-77.93140529,92,0,0,92
40055,Greer,Oklahoma,US,34.93535801,-99.5605612,65,6,0,59
5105,Perry,Arkansas,US,34.9459153,-92.94372564,7,0,0,7
48011,Armstrong,Texas,US,34.96507426,-101.3574874,2,0,0,2
48129,Donley,Texas,US,34.96517499,-100.8140093,24,0,0,24
48117,Deaf Smith,Texas,US,34.96522957,-102.6054267,31,0,0,31
48381,Randall,Texas,US,34.96585996,-101.8971322,213,3,0,210
45091,York,South Carolina,US,34.97281497,-81.18085944,210,3,0,207
37007,Anson,North Carolina,US,34.97403241,-80.09953279,25,0,0,25
37163,Sampson,North Carolina,US,34.98820368,-78.36914061,63,0,0,63
37179,Union,North Carolina,US,34.98960527,-80.52955873,243,11,0,232
5149,Yell,Arkansas,US,35.00292371,-93.41171338,3,0,0,3
37153,Richmond,North Carolina,US,35.00417719,-79.74491009,47,2,0,45
40087,McClain,Oklahoma,US,35.01123903,-97.44572302,53,2,0,51
40051,Grady,Oklahoma,US,35.0167709,-97.88339847,36,2,0,34
37093,Hoke,North Carolina,US,35.01888303,-79.23651674,80,0,0,80
5123,St. Francis,Arkansas,US,35.02201976,-90.74828138,83,0,0,83
37103,Jones,North Carolina,US,35.02254606,-77.35870791,14,2,0,12
37051,Cumberland,North Carolina,US,35.04762133,-78.82623165,238,8,0,230
45021,Cherokee,South Carolina,US,35.05122251,-81.61828622,17,0,0,17
35001,Bernalillo,New Mexico,US,35.05163625,-106.6703554,811,35,0,776
37043,Clay,North Carolina,US,35.05704275,-83.74353633,6,0,0,6
35037,Quay,New Mexico,US,35.10403332,-103.5481727,4,1,0,3
37049,Craven,North Carolina,US,35.11833364,-77.08398081,40,4,0,36
47139,Polk,Tennessee,US,35.12245443,-84.52075859,8,0,0,8
,,,Cyprus,35.1264,33.4299,850,15,296,539
47115,Marion,Tennessee,US,35.12997174,-85.62265895,29,1,0,28
37039,Cherokee,North Carolina,US,35.1349263,-84.05970864,16,1,0,15
47103,Lincoln,Tennessee,US,35.13738622,-86.58910106,13,0,0,13
5045,Faulkner,Arkansas,US,35.14719007,-92.33717519,76,2,0,74
37113,Macon,North Carolina,US,35.14867843,-83.41696617,3,1,0,2
37137,Pamlico,North Carolina,US,35.15253315,-76.66559823,7,0,0,7
47051,Franklin,Tennessee,US,35.15634626,-86.09201039,36,1,0,35
47011,Bradley,Tennessee,US,35.15739424,-84.857186,49,1,0,48
40133,Seminole,Oklahoma,US,35.16478725,-96.61686741,10,1,0,9
40015,Caddo,Oklahoma,US,35.17364557,-98.37534464,62,7,0,55
47109,McNairy,Tennessee,US,35.17468549,-88.5647812,11,0,0,11
47065,Hamilton,Tennessee,US,35.17670231,-85.16652245,156,13,0,143
47157,Shelby,Tennessee,US,35.1864775,-89.89692423,2507,47,0,2460
5147,Woodruff,Arkansas,US,35.18902527,-91.2439489,1,0,0,1
,,Shaanxi,China,35.1917,108.8701,306,3,254,49
5131,Sebastian,Arkansas,US,35.19605503,-94.27162713,13,0,0,13
47047,Fayette,Tennessee,US,35.19615831,-89.41399032,56,1,0,55
47071,Hardin,Tennessee,US,35.19732531,-88.18593755,5,0,0,5
47055,Giles,Tennessee,US,35.20222469,-87.03992678,8,0,0,8
37175,Transylvania,North Carolina,US,35.20383864,-82.79638423,7,0,0,7
40027,Cleveland,Oklahoma,US,35.20413532,-97.32519562,419,28,0,391
40125,Pottawatomie,Oklahoma,US,35.20614018,-96.94923008,45,4,0,41
47069,Hardeman,Tennessee,US,35.20772017,-88.99161161,14,0,0,14
5035,Crittenden,Arkansas,US,35.21247318,-90.30839406,187,5,0,182
5083,Logan,Arkansas,US,35.21413234,-93.71951016,3,0,0,3
47099,Lawrence,Tennessee,US,35.21675201,-87.39787695,17,0,0,17
40061,Haskell,Oklahoma,US,35.222576,-95.11513306,4,0,0,4
47181,Wayne,Tennessee,US,35.23868267,-87.78644456,4,0,0,4
37107,Lenoir,North Carolina,US,35.2403259,-77.64245615,67,4,0,63
37119,Mecklenburg,North Carolina,US,35.24469268,-80.8317671,1627,47,0,1580
5145,White,Arkansas,US,35.25688493,-91.74908296,34,1,0,33
5029,Conway,Arkansas,US,35.26205537,-92.70506566,13,1,0,12
40009,Beckham,Oklahoma,US,35.26862449,-99.68128023,5,0,0,5
47127,Moore,Tennessee,US,35.27724699,-86.36230578,3,0,0,3
37149,Polk,North Carolina,US,35.27820615,-82.16812354,20,0,0,20
37099,Jackson,North Carolina,US,35.28814273,-83.14093385,15,0,0,15
40149,Washita,Oklahoma,US,35.29071824,-98.99180434,0,0,0,0
37071,Gaston,North Carolina,US,35.29373559,-81.17477045,140,3,0,137
5037,Cross,Arkansas,US,35.29631396,-90.77185818,17,0,0,17
37125,Moore,North Carolina,US,35.30885257,-79.48474178,125,6,0,119
37167,Stanly,North Carolina,US,35.31647813,-80.25093221,29,4,0,25
37123,Montgomery,North Carolina,US,35.33155144,-79.90416657,38,2,0,36
37045,Cleveland,North Carolina,US,35.33553364,-81.55204486,47,2,0,45
37089,Henderson,North Carolina,US,35.33788927,-82.4766782,192,20,0,172
6029,Kern,California,US,35.34329425,-118.7277796,893,7,0,886
37075,Graham,North Carolina,US,35.3506925,-83.83369267,2,0,0,2
37191,Wayne,North Carolina,US,35.36438125,-78.00027268,655,10,0,645
37085,Harnett,North Carolina,US,35.36731853,-78.87243571,156,7,0,149
47153,Sequatchie,Tennessee,US,35.36979721,-85.41022136,5,0,0,5
40091,McIntosh,Oklahoma,US,35.37235506,-95.66599306,2,0,0,2
47061,Grundy,Tennessee,US,35.38433717,-85.72142731,28,1,0,27
37025,Cabarrus,North Carolina,US,35.3877799,-80.55267168,303,11,0,292
6079,San Luis Obispo,California,US,35.38822029,-120.4039028,184,1,0,183
4001,Apache,Arizona,US,35.39465006,-109.4892383,449,6,0,443
4017,Navajo,Arizona,US,35.3997715,-110.3218983,712,21,0,691
48179,Gray,Texas,US,35.40081878,-100.8129222,47,0,0,47
37161,Rutherford,North Carolina,US,35.40114178,-81.92112099,139,6,0,133
48483,Wheeler,Texas,US,35.40114335,-100.2699514,7,0,0,7
48375,Potter,Texas,US,35.40133773,-101.893964,499,8,0,491
48065,Carson,Texas,US,35.40365929,-101.3542669,2,0,0,2
48359,Oldham,Texas,US,35.40425596,-102.6027606,3,1,0,2
37095,Hyde,North Carolina,US,35.42017674,-76.15180542,1,0,0,1
47023,Chester,Tennessee,US,35.42527478,-88.6095842,10,0,0,10
47107,McMinn,Tennessee,US,35.42812616,-84.61520715,92,1,0,91
47123,Monroe,Tennessee,US,35.44550387,-84.24902965,20,1,0,19
5115,Pope,Arkansas,US,35.44871474,-93.03212219,43,0,0,43
47117,Marshall,Tennessee,US,35.45798777,-86.76420988,22,1,0,21
40107,Okfuskee,Oklahoma,US,35.46485198,-96.32639984,1,0,0,1
37105,Lee,North Carolina,US,35.47623147,-79.17569362,169,0,0,169
35047,San Miguel,New Mexico,US,35.48014807,-104.8163562,2,0,0,2
37109,Lincoln,North Carolina,US,35.48508185,-81.21740317,27,0,0,27
37013,Beaufort,North Carolina,US,35.48531943,-76.84325809,22,0,0,22
37079,Greene,North Carolina,US,35.48544173,-77.67578087,16,0,0,16
37173,Swain,North Carolina,US,35.48665845,-83.48748932,3,0,0,3
47031,Coffee,Tennessee,US,35.49090731,-86.07311784,36,0,0,36
40135,Sequoyah,Oklahoma,US,35.49447108,-94.75463785,12,3,0,9
47167,Tipton,Tennessee,US,35.501942,-89.73694895,98,0,0,98
35049,Santa Fe,New Mexico,US,35.50708973,-105.9774716,100,0,0,100
47003,Bedford,Tennessee,US,35.51123746,-86.45549096,173,2,0,171
5047,Franklin,Arkansas,US,35.51202821,-93.89299569,2,0,0,2
47121,Meigs,Tennessee,US,35.51558739,-84.81482914,8,0,0,8
37101,Johnston,North Carolina,US,35.51745004,-78.36622717,158,13,0,145
47101,Lewis,Tennessee,US,35.52853208,-87.49022694,2,0,0,2
5023,Cleburne,Arkansas,US,35.53864922,-92.02640019,73,4,0,69
40017,Canadian,Oklahoma,US,35.5426055,-97.98465569,98,3,0,95
40109,Oklahoma,Oklahoma,US,35.55140095,-97.40716948,773,31,0,742
37087,Haywood,North Carolina,US,35.55269063,-82.98196486,10,0,0,10
5071,Johnson,Arkansas,US,35.56759135,-93.46036368,31,0,0,31
5111,Poinsett,Arkansas,US,35.57433534,-90.66268713,22,1,0,21
35031,McKinley,New Mexico,US,35.5800772,-108.262245,1027,19,0,1008
5141,Van Buren,Arkansas,US,35.58095779,-92.51295036,28,2,0,26
47075,Haywood,Tennessee,US,35.58332824,-89.28536625,20,1,0,19
5033,Crawford,Arkansas,US,35.58928601,-94.2446814,4,0,0,4
37147,Pitt,North Carolina,US,35.59535426,-77.37353178,123,2,0,121
5067,Jackson,Arkansas,US,35.59802983,-91.21494602,1,0,0,1
47007,Bledsoe,Tennessee,US,35.59942968,-85.20611967,594,0,0,594
47039,Decatur,Tennessee,US,35.60048904,-88.11043779,4,0,0,4
47143,Rhea,Tennessee,US,35.60536161,-84.93076643,5,0,0,5
37021,Buncombe,North Carolina,US,35.61113393,-82.53305,68,5,0,63
47113,Madison,Tennessee,US,35.61181957,-88.84076036,135,1,0,134
40101,Muskogee,Oklahoma,US,35.61318461,-95.37802952,27,5,0,22
47119,Maury,Tennessee,US,35.6187413,-87.07462444,42,0,0,42
47135,Perry,Tennessee,US,35.63708728,-87.86139634,9,0,0,9
40039,Custer,Oklahoma,US,35.63853802,-99.00170785,10,0,0,10
37159,Rowan,North Carolina,US,35.64003916,-80.52446628,381,22,0,359
40111,Okmulgee,Oklahoma,US,35.64661916,-95.96432828,16,0,0,16
47077,Henderson,Tennessee,US,35.65581134,-88.38600175,7,0,0,7
37035,Catawba,North Carolina,US,35.66211129,-81.2132617,56,1,0,55
37055,Dare,North Carolina,US,35.66520691,-75.71767334,15,1,0,14
47177,Warren,Tennessee,US,35.6728299,-85.77969117,7,0,0,7
37111,McDowell,North Carolina,US,35.67736232,-82.0482425,25,1,0,24
35043,Sandoval,New Mexico,US,35.68862401,-106.8687803,389,13,0,376
47009,Blount,Tennessee,US,35.68938198,-83.92847788,56,3,0,53
47175,Van Buren,Tennessee,US,35.69864497,-85.45221699,2,0,0,2
40081,Lincoln,Oklahoma,US,35.70270942,-96.8812462,13,0,0,13
37037,Chatham,North Carolina,US,35.70394416,-79.25541492,316,8,0,308
4015,Mohave,Arizona,US,35.70471703,-113.7577902,117,10,0,107
37195,Wilson,North Carolina,US,35.70625477,-77.917978,165,7,0,158
37151,Randolph,North Carolina,US,35.71015088,-79.80570339,205,3,0,202
47105,Loudon,Tennessee,US,35.73939663,-84.31145275,33,0,0,33
5063,Independence,Arkansas,US,35.74242707,-91.57001641,9,0,0,9
,,Qinghai,China,35.7452,95.9956,18,0,18,0
37023,Burke,North Carolina,US,35.74989637,-81.70755735,102,8,0,94
47097,Lauderdale,Tennessee,US,35.75893438,-89.6301591,21,0,0,21
5093,Mississippi,Arkansas,US,35.76271485,-90.0519437,19,0,0,19
47155,Sevier,Tennessee,US,35.78077323,-83.52244332,49,1,0,48
37183,Wake,North Carolina,US,35.78879266,-78.65249174,833,18,0,815
37057,Davidson,North Carolina,US,35.79115496,-80.21256572,166,8,0,158
47081,Hickman,Tennessee,US,35.80609681,-87.47643507,44,0,0,44
37097,Iredell,North Carolina,US,35.80950511,-80.8743128,112,6,0,106
47015,Cannon,Tennessee,US,35.80990797,-86.05738983,12,0,0,12
47033,Crockett,Tennessee,US,35.81830662,-89.14916269,7,0,0,7
5031,Craighead,Arkansas,US,35.83018283,-90.63235729,74,0,0,74
48211,Hemphill,Texas,US,35.83764858,-100.2703577,1,0,0,1
48341,Moore,Texas,US,35.83769242,-101.8930281,327,3,0,324
48393,Roberts,Texas,US,35.83809685,-100.813175,2,0,0,2
37187,Washington,North Carolina,US,35.83810081,-76.57299037,24,2,0,22
4005,Coconino,Arizona,US,35.83883429,-111.7707178,486,42,0,444
48233,Hutchinson,Texas,US,35.84006574,-101.3546643,14,0,0,14
48205,Hartley,Texas,US,35.84008013,-102.6029022,4,0,0,4
37117,Martin,North Carolina,US,35.84326734,-77.10860251,16,0,0,16
47149,Rutherford,Tennessee,US,35.84591405,-86.4107263,474,11,0,463
47145,Roane,Tennessee,US,35.84923189,-84.52458689,7,0,0,7
37115,Madison,North Carolina,US,35.85402722,-82.71346418,1,0,0,1
35021,Harding,New Mexico,US,35.85751555,-103.8220938,1,0,0,1
5137,Stone,Arkansas,US,35.86251946,-92.15684085,7,0,0,7
35028,Los Alamos,New Mexico,US,35.86631386,-106.3134985,6,0,0,6
37177,Tyrrell,North Carolina,US,35.87147226,-76.17055253,4,0,0,4
40001,Adair,Oklahoma,US,35.88494195,-94.65859267,64,3,0,61
47187,Williamson,Tennessee,US,35.89099229,-86.89281867,411,9,0,402
40037,Creek,Oklahoma,US,35.90230551,-96.37086028,77,6,0,71
40021,Cherokee,Oklahoma,US,35.90692775,-94.99980896,27,1,0,26
,,,South Korea,35.907757,127.766922,10774,248,9072,1454
5129,Searcy,Arkansas,US,35.9109364,-92.69936482,6,0,0,6
37065,Edgecombe,North Carolina,US,35.91230639,-77.59436892,94,4,0,90
40083,Logan,Oklahoma,US,35.91899576,-97.44352845,15,1,0,14
5101,Newton,Arkansas,US,35.91947491,-93.21612969,3,0,0,3
37003,Alexander,North Carolina,US,35.9223796,-81.17751948,4,0,0,4
47029,Cocke,Tennessee,US,35.9278914,-83.11828725,16,0,0,16
47185,White,Tennessee,US,35.92929884,-85.45591799,7,0,0,7
37059,Davie,North Carolina,US,35.93099927,-80.54496571,30,2,0,28
,,,Malta,35.9375,14.3754,465,4,351,110
40073,Kingfisher,Oklahoma,US,35.94530008,-97.94193268,8,0,0,8
37027,Caldwell,North Carolina,US,35.95204977,-81.54799522,34,0,0,34
47035,Cumberland,Tennessee,US,35.95271721,-84.99840585,74,1,0,73
40145,Wagoner,Oklahoma,US,35.96024096,-95.51911308,119,15,0,104
37127,Nash,North Carolina,US,35.96575634,-77.98422508,92,3,0,89
47017,Carroll,Tennessee,US,35.97366108,-88.45189331,18,1,0,17
47041,DeKalb,Tennessee,US,35.97616272,-85.83689361,15,0,0,15
5143,Washington,Arkansas,US,35.976844,-94.21800746,86,3,0,83
40043,Dewey,Oklahoma,US,35.98772922,-99.00730714,2,0,0,2
47053,Gibson,Tennessee,US,35.99438059,-88.93358327,43,1,0,42
47093,Knox,Tennessee,US,35.99508821,-83.94635435,228,5,0,223
5087,Madison,Arkansas,US,36.01038185,-93.72524943,1,0,0,1
37121,Mitchell,North Carolina,US,36.01059309,-82.1582442,5,0,0,5
37063,Durham,North Carolina,US,36.03638492,-78.87608331,733,21,0,712
47085,Humphreys,Tennessee,US,36.03958805,-87.77992872,10,1,0,9
5075,Lawrence,Arkansas,US,36.04188196,-91.10867198,59,2,0,57
37001,Alamance,North Carolina,US,36.0434701,-79.39976137,109,1,0,108
47089,Jefferson,Tennessee,US,36.04818632,-83.45148924,19,0,0,19
47045,Dyer,Tennessee,US,36.05931946,-89.41542855,34,0,0,34
